11773	1	80
11773	1	310
21	14	9
1	0	9
3	0	9
354	3	58
4864	3	58
1306	6	58
4864	1	58
4492	9	9
98	2	9
567	0	9
515	4	1811
6175	2	119
9714	3	119
301	3	119
9112	1	119
3354	0	119
10725	10	119
567	10	119
9769	3	119
4748	1	734
4748	12	734
1273	1	314
1273	1	574
9022	1	112
9833	7	112
354	7	112
11943	0	112
1973	2	292
1973	2	78
4897	1	78
1299	0	101
1370	0	101
1307	0	101
1355	1	101
7690	9	303
3457	3	303
12461	0	303
1	2	9
18	3	9
21	3	9
435	1	69
354	3	69
3345	2	228
12042	2	228
16	10	228
10571	1	303
9714	12	303
6175	1	303
9874	12	303
9874	10	303
1666	10	303
4442	10	303
1666	6	303
6201	1	452
98	3	452
612	8	58
5219	6	58
5218	2	58
1	10	9
4889	1	9
10658	7	3704
10906	3	3704
12509	0	3704
1	2	20
1637	8	20
11107	6	112
7519	1	112
1945	1	1207
122	13	20
6292	12	20
2311	12	78
78	1	292
3958	12	78
3958	1	78
5142	1	78
3271	1	20
11729	2	566
3577	0	734
1953	10	9
11362	1	10007
3373	2	11362
354	10	119
1872	0	119
4030	10	119
2929	2	119
384	1	112
1243	1	112
670	8	112
670	8	58
2595	4	112
2595	4	58
4438	2	20
12952	3	20
9443	1	20
4878	1	20
9024	12	20
567	0	20
687	1	734
106	6	11
1314	1	11
107	0	9
9	1	11
4697	2	11
7333	3	1616
2626	0	58
13306	3	20
3081	7	1061
8938	10	1061
3081	1	1061
3081	6	1061
2469	2	11
2469	2	30
2469	2	20
2469	1	11
2469	1	30
2469	1	20
5575	1	574
911	6	34
7074	2	119
615	2	119
16	7	17
2621	2	17
3774	6	17
9939	3	69
1882	6	69
5343	1	69
7211	1	69
6565	1	69
3880	3	69
8915	6	364
3976	2	20
668	2	20
1009	2	228
1009	3	228
1	7	9
11409	2	9
1136	2	9
6529	2	11
10489	5	123
10489	5	1649
5137	2	519
858	1	1207
858	1	519
5137	2	1207
132	6	519
5230	6	1207
8468	2	11
187	2	11
13129	2	9
354	0	112
354	0	119
4581	13	484
4822	0	484
78	4	9
78	10	9
78	0	11
11	12	11
2611	0	20
7690	9	144
3035	1	144
10571	1	144
1390	1	144
2588	1	144
1237	10	20
3933	4	144
98	4	99
3059	0	228
11107	1	292
567	1	292
10725	11	292
4897	7	292
4897	4	78
1193	1	493
11719	0	6864
5560	0	7648
5560	0	1359
2311	9	6957
1540	1	101
2	2	144
8702	2	101
1191	2	101
1607	1	554
1607	1	484
1607	2	554
1701	4	1842
1114	6	452
11809	12	452
354	0	69
8297	2	172
3460	1	172
1996	2	11
1996	2	9
1996	2	20
4185	10	58
4185	10	9
4185	10	30
3460	5	172
4889	0	172
7990	1	310
254	2	30
2217	13	9
6149	1	9
457	2	9
1114	1	452
3912	8	452
5715	8	452
1741	2	20
8145	0	101
6175	3	30
6063	4	30
7227	4	30
10571	4	30
1239	4	30
2217	4	30
3719	4	1207
1324	2	20
7753	4	627
7753	4	418
1945	6	20
3035	11	30
1136	2	30
30	0	20
20	0	30
7111	0	30
1356	0	30
3035	9	78
301	13	78
78	3	1891
78	0	9
9	1	78
9	3	78
292	1	78
78	3	78
862	2	487
5645	0	487
2911	11	3294
77	2	310
11695	2	310
77	2	11
9249	0	310
2709	11	310
91	6	8288
1023	1	8288
8261	0	8288
27	7	9
66	7	9
4864	3	9
3	1	1811
1947	4	11
20	0	20
20	11	20
43	0	9
43	0	58
10571	0	9
3389	1	9
13500	12	9
9466	13	9
10141	8	9
9246	1	9
1136	2	11
3457	8	11
1899	11	11
10571	6	11
11	0	9
594	0	20
594	0	30
1	3	566
316	3	566
98	0	566
11274	0	566
2958	4	566
11274	4	887
9466	6	9
1807	4	9
301	13	11
10327	1	11
9	0	11
146	0	80
146	0	58
189	0	887
10571	6	887
887	3	566
1627	6	887
9939	0	887
567	0	887
2165	4	887
5157	1	887
2165	11	887
2165	4	566
64	3	519
10610	4	519
2724	0	295
10850	0	493
482	2	295
2724	5	295
10259	2	295
295	0	57
7810	1	627
702	1	627
2775	6	627
1851	1	11
8	1	11
42	1	11
798	2	1641
441	2	1641
4425	2	1641
3570	2	1641
623	0	9
11409	2	80
4653	3	99
2937	2	17
6307	1	11
6307	10	57
6783	0	11
4610	1	20
5476	12	203
5476	12	144
354	3	78
1136	0	78
1136	10	9
3	1	101
256	3	101
2217	5	101
3	0	101
1355	0	101
482	2	57
6783	2	11
4137	1	3704
12968	0	9
10024	6	20
10024	6	9
12232	2	78
12232	2	292
77	2	9
9	2	9
3937	0	9
3937	2	9
77	2	20
6565	13	1091
6565	13	1967
6565	13	8315
1	2	1091
1	2	1967
1	2	8315
1332	0	57
7842	2	11
6343	4	57
1908	1	58
164	0	11
7255	0	8372
301	1	8372
1890	1	11
8562	3	69
94	0	80
138	4	151
7884	2	9
29	2	9
13393	1	9
5998	10	9
2757	0	9
2262	10	58
